lemma,count
MacDowell,15
drunken,15
prefer,15
NYMPH,15
flag,15
apart,15
fix,15
Red,15
Nelson,15
battle,15
bleed,15
hospital,15
regular,15
mute,15
symbol,15
9,15
suggestion,15
instead,15
clasp,15
type,15
request,15
keeper,15
tissue,15
size,15
snap,15
Keyes,15
anyway,15
mistake,15
Sir,15
greet,15
Philip,15
gallop,15
county,15
p,15
trade,15
owe,15
chant,15
drum,15
infant,15
gown,15
orange,15
acquaintance,15
purse,15
grief,15
sex,15
lonely,15
Horne,15
travel,15
deliver,15
accent,15
sorrow,15
style,15
leader,15
wink,15
italian,15
favourite,15
legal,15
deed,15
bitch,15
beef,15
latter,15
glow,15
toe,15
darkness,15
particularly,14
sofa,14
farmer,14
waste,14
appeal,14
railing,14
region,14
bargain,14
gut,14
date,14
charming,14
Mount,14
mortal,14
charge,14
inch,14
corporation,14
Moore,14
Arms,14
fare,14
Europe,14
apply,14
David,14
advance,14
shave,14
angle,14
Leonard,14
coincidence,14
ho,14
People,14
project,14
shore,14
hail,14
pa,14
mount,14
ward,14
everybody,14
amount,14
dozen,14
base,14
crush,14
parcel,14
darling,14
advertisement,14
passage,14
deeply,14
immortal,14
supply,14
literature,14
Venus,14
blouse,14
mayor,14
Madam,14
cousin,14
consider,14
area,14
listener,14
gaily,14
verse,14
gather,14
Sandymount,14
narrator,14
wire,14
Edward,14
curtain,14
visible,14
Son,14
sunlight,14
Thursday,14
judge,14
mutual,14
continue,14
Talbot,14
shed,14
bard,14
motion,14
peak,14
hook,14
Ho,14
government,14
sheep,14
bishop,14
storm,14
balance,14
15,14
dish,14
Heigho,14
virtue,14
sensation,14
rare,14
apple,14
wag,14
curbstone,14
absence,14
steal,14
thunder,14
hip,14
6,14
property,14
roar,14
cuckoo,14
rate,14
diamond,14
Agendath,14
spend,14
coal,14
solicitor,14
scream,14
level,14
Conroy,14
height,13
hit,13
blade,13
gull,13
trip,13
necessary,13
Professor,13
fry,13
foreign,13
sustain,13
cabbage,13
mild,13
monk,13
hath,13
blond,13
flood,13
display,13
R.,13
store,13
Murray,13
choice,13
urge,13
blank,13
breech,13
K.,13
swiftly,13
buck,13
practice,13
dislike,13
ray,13
previously,13
vain,13
genius,13
bold,13
appearance,13
calm,13
blame,13
scent,13
pause,13
sum,13
system,13
labour,13
weary,13
plan,13
rank,13
COMPTON,13
boil,13
scarcely,13
lightning,13
glorious,13
title,13
pack,13
constable,13
praise,13
seaside,13
twist,13
mystery,13
vein,13
altogether,13
amen,13
handle,13
olive,13
Eccles,13
literary,13
pianola,13
Lydia,13
tis,13
8,13
fox,13
musical,13
calf,13
scrape,13
20,13
forefinger,13
refuse,13
Bella,13
Sunday,13
clutch,13
swallow,13
pump,13
Poulaphouca,13
protestant,13
sip,13
mental,13
agree,13
religion,13
fail,13
Reuben,13
affirm,13
blink,13
discussion,13
agent,13
whereas,13
awful,13
subsequently,13
ashe,13
invent,13
Bernard,13
quaker,13
asleep,13
pant,13
perfectly,13
final,13
crooked,13
loaf,13
clay,13
Kildare,13
invisible,13
sweep,13
grin,13
ye,13
cork,13
nearly,13
slice,13
paint,13
heir,13
van,13
afternoon,13
glory,13
